Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_center,L_signal,R_signal,Speed_cmd,Steer_cmd
0,22.22,0.02,-0.0241,400.0,300.0,802,800,804,202.0,0.07
1,64.62,-1.77,-0.0689,333.3,238.1,696,656,736,176.0,0.79
2,100.66,-4.69,-0.0896,272.7,318.2,682,588,776,171.5,1.76
3,134.87,-7.36,-0.0620,238.1,238.1,678,568,788,169.0,2.02
4,166.86,-8.96,-0.0310,238.1,285.7,650,560,740,164.0,1.66
5,196.27,-9.60,-0.0172,181.8,272.7,640,580,700,160.0,1.15
6,223.85,-9.89,-0.0034,190.5,238.1,660,620,700,166.5,0.90
7,251.27,-9.99,0.0000,173.9,173.9,692,684,700,173.0,0.22
8,276.86,-9.80,0.0103,227.3,272.7,770,784,756,193.0,-0.07
9,303.83,-9.62,0.0034,227.3,227.3,822,836,808,206.0,-0.36
10,333.40,-9.70,-0.0069,200.0,200.0,866,888,844,214.5,-0.47
11,362.35,-9.96,-0.0103,181.8,227.3,738,768,708,193.5,-0.47
12,385.64,-10.55,-0.0310,142.9,190.5,460,476,444,125.0,-0.58
