Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_center,L_signal,R_signal,Speed_cmd,Steer_cmd
0,1.31,-0.00,-0.0034,150.0,100.0,39.4,8,7,15.3,0.00
1,33.09,-0.55,-0.0304,350.0,350.0,81.1,12,15,16.6,0.00
2,64.87,-1.32,-0.0169,350.0,300.0,92.8,20,21,13.1,0.00
3,95.04,-2.22,-0.0406,300.0,300.0,83.4,16,4,16.9,0.00
4,124.16,-3.77,-0.0676,400.0,350.0,73.4,35,21,21.2,0.00
5,155.03,-5.12,-0.0135,300.0,250.0,80.1,24,13,17.8,-0.00
6,185.06,-5.76,-0.0338,300.0,250.0,85.4,35,6,15.6,-0.00
7,217.55,-6.96,0.0169,150.0,400.0,87.1,32,18,15.2,-0.80
8,244.80,-6.01,0.0270,300.0,300.0,77.1,34,10,19.0,-0.00
9,273.81,-5.26,0.0237,250.0,250.0,83.8,35,14,15.6,-0.00
10,300.46,-4.37,0.1690,0.0,300.0,80.1,29,23,16.1,-0.21
11,331.30,1.25,0.1656,200.0,200.0,79.4,15,12,17.8,-0.00
12,361.12,5.95,0.1487,250.0,250.0,82.1,9,26,16.6,-0.00
13,390.52,10.44,0.1419,300.0,250.0,79.8,6,30,17.8,-0.00
