Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_left,IR_center,IR_right,Speed_cmd,Steer_cmd
0,44.89,-0.17,-0.0448,904.8,761.9,802,608,996,120.9,3.35
1,130.70,-9.84,-0.1826,636.4,590.9,2502,496,4508,64.5,5.22
2,183.31,-21.58,-0.2584,378.4,378.4,4510,4508,4512,0.0,0.04
3,222.86,-33.18,-0.3100,351.4,324.3,4508,4508,4508,0.0,0.00
4,258.82,-45.45,-0.3514,324.3,270.3,4512,4512,4512,0.0,0.04
5,291.10,-57.98,-0.3927,270.3,270.3,4512,4504,4520,0.0,-0.11
6,320.56,-70.13,-0.3927,243.2,243.2,4506,4504,4508,0.0,-0.04
7,346.12,-80.88,-0.3893,185.2,259.3,3134,1756,4512,200.0,10.00
8,379.91,-89.44,-0.2239,458.3,166.7,3086,4508,1664,200.0,-10.00
9,411.48,-99.75,-0.3858,409.1,272.7,2966,4512,1420,200.0,-10.00
10,439.72,-112.38,-0.4892,346.2,230.8,3060,4512,1608,200.0,-10.00
11,461.43,-125.88,-0.6373,0.0,0.0,2080,2740,1420,200.0,-10.00
12,462.80,-126.87,-0.6201,111.1,111.1,2092,2764,1420,200.0,-10.00
13,466.70,-129.58,-0.6028,38.5,38.5,1996,2632,1360,200.0,-10.00
