Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_center,L_signal,R_signal,Speed_cmd,Steer_cmd
0,1.02,-0.04,-0.0912,0.0,0.0,48.0,15,21,12.8,0.00
1,11.30,-1.21,-0.1149,0.0,0.0,89.0,17,22,5.0,0.00
2,11.30,-1.21,-0.1149,0.0,0.0,85.0,17,21,5.0,0.00
3,11.30,-1.21,-0.1149,0.0,0.0,51.7,11,14,13.4,0.00
4,45.92,-6.35,-0.1622,350.0,350.0,84.0,23,22,16.7,0.00
5,75.96,-11.50,-0.1791,250.0,200.0,78.3,22,10,17.7,0.00
6,104.89,-17.03,-0.1926,300.0,250.0,79.7,27,27,17.5,0.00
7,134.20,-22.86,-0.2095,150.0,200.0,81.0,24,14,15.8,0.00
8,161.72,-28.75,-0.2196,300.0,250.0,81.0,16,24,16.7,0.00
9,188.01,-34.79,-0.2365,250.0,200.0,71.3,18,31,19.9,0.00
10,219.75,-42.50,-0.2433,300.0,300.0,76.3,9,29,20.0,0.00
11,250.72,-50.87,-0.3244,300.0,0.0,92.7,14,41,11.9,7.13
12,273.72,-61.85,-0.4697,300.0,350.0,80.7,26,32,18.0,0.00
13,298.08,-75.87,-0.6015,250.0,200.0,82.0,17,32,15.5,0.00
