distance_cm,sample_id,bump_L,bump_R,bump_avg
1,0,780,752,766
1,1,768,752,760
1,2,768,752,760
1,3,772,744,758
1,4,768,752,760
1,5,772,760,766
1,6,764,756,760
1,7,772,752,762
1,8,768,760,764
1,9,772,760,766
1,10,780,752,766
1,11,764,740,752
1,12,768,752,760
1,13,768,756,762
1,14,768,800,784
1,15,780,788,784
1,16,776,804,790
1,17,780,800,790
1,18,776,800,788
1,19,780,800,790
1,20,776,796,786
1,21,776,800,788
1,22,776,804,790
1,23,776,796,786
1,24,780,800,790
1,25,776,800,788
1,26,780,784,782
1,27,772,788,780
1,28,776,800,788
1,29,780,800,790
1,30,768,804,786
1,31,784,804,794
1,32,776,800,788
1,33,776,796,786
1,34,792,800,796
1,35,776,800,788
1,36,776,800,788
1,37,776,800,788
1,38,780,800,790
1,39,776,800,788
1,40,776,796,786
1,41,776,792,784
1,42,776,804,790
1,43,776,792,784
1,44,780,800,790
1,45,776,800,788
1,46,776,804,790
1,47,776,804,790
1,48,776,800,788
1,49,776,792,784
2,0,1380,1464,1422
2,1,1392,1436,1414
2,2,1408,1444,1426
2,3,1408,1432,1420
2,4,1400,1444,1422
2,5,1400,1448,1424
2,6,1340,1444,1392
2,7,1412,1456,1434
2,8,1408,1456,1432
2,9,1404,1440,1422
2,10,1404,1452,1428
2,11,1188,1388,1288
2,12,1440,1436,1438
2,13,1412,1452,1432
2,14,1404,1456,1430
2,15,1424,1472,1448
2,16,1140,1432,1286
2,17,1412,1440,1426
2,18,1408,1456,1432
2,19,1396,1452,1424
2,20,1396,1452,1424
2,21,1336,1452,1394
2,22,1412,1444,1428
2,23,1420,1452,1436
2,24,1408,1456,1432
2,25,1424,1464,1444
2,26,1328,1392,1360
2,27,1420,1420,1420
2,28,1408,1464,1436
2,29,1396,1452,1424
2,30,1404,1452,1428
2,31,1332,1448,1390
2,32,1408,1436,1422
2,33,1400,1468,1434
2,34,1404,1444,1424
2,35,1392,1444,1418
2,36,1352,1448,1400
2,37,1404,1328,1366
2,38,1400,1456,1428
2,39,1404,1452,1428
2,40,1420,1440,1430
2,41,1340,1444,1392
2,42,1400,1424,1412
2,43,1400,1452,1426
2,44,1396,1448,1422
2,45,1404,1452,1428
2,46,1204,1364,1284
2,47,1404,1460,1432
2,48,1400,1456,1428
2,49,1424,1464,1444
3,0,2056,2080,2068
3,1,2096,2084,2090
3,2,2044,2072,2058
3,3,2072,2036,2054
3,4,2064,2036,2050
3,5,2068,2032,2050
3,6,2084,2048,2066
3,7,2072,2088,2080
3,8,2128,2032,2080
3,9,2064,2044,2054
3,10,2252,2016,2134
3,11,2080,2032,2056
3,12,2124,2036,2080
3,13,2064,2084,2074
3,14,2044,2100,2072
3,15,2116,2016,2066
3,16,2080,2036,2058
3,17,2132,2024,2078
3,18,2068,2052,2060
3,19,2052,2100,2076
3,20,2040,2084,2062
3,21,2132,2044,2088
3,22,2092,2060,2076
3,23,2048,2112,2080
3,24,2064,2116,2090
3,25,2140,2024,2082
3,26,2132,2028,2080
3,27,2088,2044,2066
3,28,2056,2100,2078
3,29,2072,2064,2068
3,30,2080,2052,2066
3,31,2048,2112,2080
3,32,2052,2100,2076
3,33,2108,2092,2100
3,34,2088,2060,2074
3,35,2112,2100,2106
3,36,2136,2024,2080
3,37,2076,2124,2100
3,38,2132,2024,2078
3,39,2096,2044,2070
3,40,2072,2064,2068
3,41,2088,2064,2076
3,42,2088,2036,2062
3,43,2088,2060,2074
3,44,2080,2060,2070
3,45,2056,2084,2070
3,46,2080,2072,2076
3,47,2140,2064,2102
3,48,2132,2032,2082
3,49,2052,2120,2086
4,0,2276,2588,2432
4,1,2888,2588,2738
4,2,2956,2828,2892
4,3,2916,2884,2900
4,4,2888,2816,2852
4,5,2648,2876,2762
4,6,2728,2148,2438
4,7,2872,2912,2892
4,8,2920,2912,2916
4,9,2752,2904,2828
4,10,2504,2752,2628
4,11,2828,2552,2690
4,12,2960,2840,2900
4,13,2904,2900,2902
4,14,2972,2968,2970
4,15,2556,2568,2562
4,16,2880,2732,2806
4,17,2916,2844,2880
4,18,2904,2884,2894
4,19,3104,2908,3006
4,20,2380,2828,2604
4,21,2992,2100,2546
4,22,2960,2868,2914
4,23,2908,2856,2882
4,24,2904,2892,2898
4,25,2612,2836,2724
4,26,2948,2404,2676
4,27,2904,2904,2904
4,28,2932,2884,2908
4,29,2912,2852,2882
4,30,2592,2796,2694
4,31,2900,2544,2722
4,32,2880,2980,2930
4,33,2940,2912,2926
4,34,2928,2912,2920
4,35,2304,2828,2566
4,36,2916,2776,2846
4,37,3008,2872,2940
4,38,2904,3008,2956
4,39,2928,3104,3016
4,40,1828,2768,2298
4,41,2936,2500,2718
4,42,2892,2992,2942
4,43,2992,2980,2986
4,44,3004,2940,2972
4,45,2836,2980,2908
4,46,2892,2620,2756
4,47,2932,2904,2918
4,48,2924,2884,2904
4,49,2932,2888,2910
5,0,4196,4516,4356
5,1,4304,4304,4304
5,2,4220,4444,4332
5,3,4288,4252,4270
5,4,4328,4288,4308
5,5,4124,4436,4280
5,6,4188,4312,4250
5,7,4244,4336,4290
5,8,4172,4364,4268
5,9,4260,4292,4276
5,10,4116,4344,4230
5,11,4296,4248,4272
5,12,4252,4232,4242
5,13,4284,4292,4288
5,14,4108,4308,4208
5,15,4140,4444,4292
5,16,4148,4328,4238
5,17,4160,4288,4224
5,18,4108,4340,4224
5,19,4120,4264,4192
5,20,4252,4220,4236
5,21,4272,4316,4294
5,22,4128,4292,4210
5,23,4256,4320,4288
5,24,4252,4312,4282
5,25,4252,4260,4256
5,26,4148,4308,4228
5,27,4128,4316,4222
5,28,4116,4440,4278
5,29,4160,4292,4226
5,30,4188,4376,4282
5,31,4276,4304,4290
5,32,4244,4264,4254
5,33,4232,4284,4258
5,34,4144,4284,4214
5,35,4144,4292,4218
5,36,4192,4388,4290
5,37,4184,4344,4264
5,38,4148,4308,4228
5,39,4212,4340,4276
5,40,4224,4292,4258
5,41,4272,4252,4262
5,42,4252,4300,4276
5,43,4212,4308,4260
5,44,4076,4452,4264
5,45,4132,4436,4284
5,46,4168,4408,4288
5,47,4116,4324,4220
5,48,4140,4240,4190
5,49,4168,4348,4258
6,0,4508,4508,4508
6,1,4512,4516,4514
6,2,4512,4512,4512
6,3,4512,4512,4512
6,4,4512,4516,4514
6,5,4512,4508,4510
6,6,4512,4512,4512
6,7,4508,4508,4508
6,8,4512,4516,4514
6,9,4512,4512,4512
6,10,4508,4508,4508
6,11,4508,4508,4508
6,12,4512,4508,4510
6,13,4512,4512,4512
6,14,4508,4508,4508
6,15,4512,4516,4514
6,16,4504,4512,4508
6,17,4512,4516,4514
6,18,4512,4516,4514
6,19,4512,4512,4512
6,20,4512,4512,4512
6,21,4512,4516,4514
6,22,4512,4512,4512
6,23,4512,4512,4512
6,24,4512,4516,4514
6,25,4512,4516,4514
6,26,4504,4512,4508
6,27,4508,4512,4510
6,28,4512,4516,4514
6,29,4512,4512,4512
6,30,4512,4512,4512
6,31,4512,4516,4514
6,32,4504,4512,4508
6,33,4512,4512,4512
6,34,4508,4508,4508
6,35,4508,4504,4506
6,36,4504,4512,4508
6,37,4512,4512,4512
6,38,4512,4516,4514
6,39,4512,4512,4512
6,40,4512,4512,4512
6,41,4512,4516,4514
6,42,4512,4516,4514
6,43,4512,4512,4512
6,44,4508,4504,4506
6,45,4512,4516,4514
6,46,4512,4512,4512
6,47,4508,4512,4510
6,48,4508,4508,4508
6,49,4512,4512,4512
7,0,4512,4512,4512
7,1,4512,4516,4514
7,2,4508,4508,4508
7,3,4512,4512,4512
7,4,4512,4512,4512
7,5,4508,4508,4508
7,6,4504,4512,4508
7,7,4512,4512,4512
7,8,4508,4508,4508
7,9,4512,4516,4514
7,10,4508,4512,4510
7,11,4508,4508,4508
7,12,4508,4508,4508
7,13,4508,4508,4508
7,14,4512,4512,4512
7,15,4512,4516,4514
7,16,4508,4508,4508
7,17,4512,4512,4512
7,18,4508,4508,4508
7,19,4512,4516,4514
7,20,4504,4512,4508
7,21,4508,4512,4510
7,22,4512,4516,4514
7,23,4504,4512,4508
7,24,4512,4512,4512
7,25,4512,4516,4514
7,26,4508,4512,4510
7,27,4512,4512,4512
7,28,4508,4504,4506
7,29,4512,4516,4514
7,30,4512,4512,4512
7,31,4508,4508,4508
7,32,4508,4508,4508
7,33,4504,4508,4506
7,34,4512,4512,4512
7,35,4508,4508,4508
7,36,4508,4508,4508
7,37,4512,4512,4512
7,38,4508,4504,4506
7,39,4512,4516,4514
7,40,4508,4512,4510
7,41,4508,4512,4510
7,42,4508,4508,4508
7,43,4512,4508,4510
7,44,4512,4512,4512
7,45,4508,4504,4506
7,46,4512,4516,4514
7,47,4512,4512,4512
7,48,4512,4516,4514
7,49,4508,4516,4512
