distance_cm,sample_id,line_1,line_2,line_3,center_avg
1,0,25,26,25,25
1,1,25,26,26,25
1,2,25,26,26,25
1,3,25,26,26,25
1,4,25,26,26,25
1,5,25,26,26,25
1,6,25,25,26,25
1,7,24,25,25,24
1,8,24,24,26,24
1,9,24,25,25,24
1,10,24,24,26,24
1,11,24,25,25,24
1,12,24,25,25,24
1,13,24,24,25,24
1,14,24,25,25,24
1,15,24,25,25,24
1,16,24,25,25,24
1,17,24,25,25,24
1,18,24,25,25,24
1,19,24,25,25,24
1,20,24,25,25,24
1,21,24,25,25,24
1,22,25,26,25,25
1,23,25,26,26,25
1,24,26,26,26,26
1,25,26,26,26,26
1,26,26,26,26,26
1,27,26,26,26,26
1,28,26,26,26,26
1,29,26,26,26,26
1,30,25,26,26,25
1,31,26,26,26,26
1,32,26,27,26,26
1,33,26,26,26,26
1,34,26,26,26,26
1,35,25,26,26,25
1,36,26,26,26,26
1,37,26,26,26,26
1,38,26,26,26,26
1,39,26,26,26,26
1,40,26,26,26,26
1,41,26,26,26,26
1,42,26,26,26,26
1,43,26,26,26,26
1,44,26,26,26,26
1,45,26,26,26,26
1,46,26,27,26,26
1,47,25,26,26,25
1,48,25,26,26,25
1,49,25,26,26,25
2,0,16,15,15,15
2,1,16,14,15,15
2,2,16,14,15,15
2,3,16,15,15,15
2,4,16,14,15,15
2,5,16,14,15,15
2,6,16,14,15,15
2,7,16,15,15,15
2,8,15,14,15,14
2,9,16,14,15,15
2,10,16,15,15,15
2,11,16,15,15,15
2,12,16,14,15,15
2,13,16,15,15,15
2,14,15,15,15,15
2,15,15,15,15,15
2,16,15,15,15,15
2,17,15,15,15,15
2,18,16,15,15,15
2,19,16,15,15,15
2,20,16,15,15,15
2,21,16,15,15,15
2,22,16,15,15,15
2,23,16,15,15,15
2,24,16,14,15,15
2,25,16,14,15,15
2,26,16,14,15,15
2,27,16,15,15,15
2,28,16,15,15,15
2,29,16,14,15,15
2,30,16,14,15,15
2,31,16,14,15,15
2,32,16,14,15,15
2,33,16,15,16,15
2,34,16,15,16,15
2,35,16,15,16,15
2,36,16,15,16,15
2,37,16,15,16,15
2,38,16,15,16,15
2,39,16,15,16,15
2,40,16,15,16,15
2,41,16,15,15,15
2,42,16,15,15,15
2,43,16,15,15,15
2,44,16,15,15,15
2,45,16,15,15,15
2,46,16,15,15,15
2,47,16,15,15,15
2,48,16,15,15,15
2,49,16,15,15,15
3,0,10,9,10,9
3,1,10,9,10,9
3,2,10,9,10,9
3,3,10,9,10,9
3,4,10,9,9,9
3,5,10,9,9,9
3,6,9,9,9,9
3,7,10,9,9,9
3,8,10,9,9,9
3,9,10,9,9,9
3,10,10,9,9,9
3,11,10,8,9,9
3,12,10,8,9,9
3,13,10,8,9,9
3,14,10,8,9,9
3,15,10,8,9,9
3,16,10,8,9,9
3,17,10,8,9,9
3,18,10,8,9,9
3,19,10,8,9,9
3,20,10,8,9,9
3,21,9,9,9,9
3,22,9,9,9,9
3,23,9,9,9,9
3,24,9,8,9,8
3,25,9,8,9,8
3,26,9,9,9,9
3,27,9,9,9,9
3,28,10,9,9,9
3,29,10,9,9,9
3,30,9,9,9,9
3,31,10,9,9,9
3,32,10,8,9,9
3,33,10,8,9,9
3,34,10,8,9,9
3,35,10,8,9,9
3,36,10,8,9,9
3,37,10,8,9,9
3,38,10,9,10,9
3,39,10,9,9,9
3,40,10,9,9,9
3,41,9,9,9,9
3,42,9,9,9,9
3,43,9,9,9,9
3,44,9,8,9,8
